Year,Week_Number,mean_return,volatility,Label
2016,32,-0.1796,1.304213288,undefined
2016,33,0.4134,0.46549522,undefined
2016,34,0.7402,0.742458214,undefined
2016,35,0.3632,1.156151893,undefined
2016,36,-0.405,1.017019174,undefined
2016,37,-0.3162,0.939396987,undefined
2016,38,0.0398,0.469431252,undefined
2016,39,0.189,2.350165207,undefined
2016,40,0.61,0.995437843,undefined
2016,41,-0.1566,1.151720799,undefined
2016,42,0.8244,0.452301669,undefined
2016,43,0.0152,0.888541895,undefined
2016,44,-0.154,0.75568909,undefined
2016,45,2.8416,2.299843321,undefined
2016,46,1.042,2.866867367,undefined
2016,47,1.0605,0.819635081,undefined
2016,48,0.4572,2.784956589,undefined
2016,49,1.6964,0.812703082,undefined
2016,50,-0.3624,1.807415226,undefined
2016,51,-0.051,0.710109851,undefined
2016,52,-0.55425,0.948211782,undefined
2017,1,0.6585,1.517662567,undefined
2017,2,0.2934,0.973299697,undefined
2017,3,-0.374,2.83998169,undefined
2017,4,0.633,1.080021528,undefined
2017,5,-0.0472,1.800002278,undefined
2017,6,-0.1748,1.251459028,undefined
2017,7,1.2246,1.332725328,undefined
2017,8,-0.29275,1.084369978,undefined
2017,9,1.0522,1.708432235,undefined
2017,10,-0.1018,0.424870804,undefined
2017,11,-0.3564,0.659574711,undefined
2017,12,-1.4126,2.603906162,undefined
2017,13,0.413,1.561967189,undefined
2017,14,-0.366,0.59102961,undefined
2017,15,-0.89625,0.447943728,undefined
2017,16,0.3378,1.466674879,undefined
2017,17,0.5682,2.228176205,undefined
2017,18,0.3428,0.747077774,undefined
2017,19,0.2194,0.57499113,undefined
2017,20,-0.7688,2.943265737,undefined
2017,21,0.1668,0.776236562,undefined
2017,22,-0.7735,1.249381314,undefined
2017,23,1.0734,1.553096037,undefined
2017,24,-0.2024,0.522132454,undefined
2017,25,-0.5172,1.52288253,undefined
2017,26,1.2368,1.175667555,undefined
2017,27,0.5865,1.081982902,undefined
2017,28,-0.499,1.140739453,undefined
2017,29,-0.34,0.575980034,undefined
2017,30,0.1996,1.34118429,undefined
2017,31,0.7766,1.24371512,undefined
2017,32,-0.9014,0.981345913,undefined
2017,33,-0.1902,1.721670032,undefined
2017,34,0.1316,1.111050089,undefined
2017,35,0.3738,0.929609703,undefined
2017,36,-1.25925,1.631088261,undefined
2017,37,1.2748,1.168274668,undefined
2017,38,0.5218,0.688995428,undefined
2017,39,0.2612,1.307401507,undefined
2017,40,0.6804,0.849156228,undefined
2017,41,-0.2858,1.236611782,undefined
2017,42,1.0204,0.942024044,undefined
2017,43,0.4622,0.842358415,undefined
2017,44,0.0174,0.853369088,undefined
2017,45,-0.957,0.869277861,undefined
2017,46,0.088,1.137983963,undefined
2017,47,-0.02775,0.336403899,undefined
2017,48,1.2106,1.850236147,undefined
2017,49,0.6788,1.709384889,undefined
2017,50,-0.001,1.210038842,undefined
2017,51,0.5738,0.714074716,undefined
2017,52,-0.302,0.48800888,undefined
2018,0,0.6815,0.782928903,Green
2018,1,0.564,0.881909009,Green
2018,2,0.423,0.533177894,Green
2018,3,0.3014,0.329064279,Green
2018,4,-0.1488,1.316541568,Red
2018,5,-0.9744,3.879244102,Red
2018,6,1.0678,1.502044507,Red
2018,7,0.04875,0.709933506,Green
2018,8,-0.1716,1.071055694,Red
2018,9,0.6828,0.841415296,Green
2018,10,-0.3362,0.747040963,Red
2018,11,-1.9188,2.214616378,Red
2018,12,0.73325,3.177968888,Red
2018,13,-0.227,1.877762898,Red
2018,14,0.1368,2.362905775,Red
2018,15,0.3144,1.381042469,Red
2018,16,-0.0726,0.29539262,Red
2018,17,-0.5682,0.753546084,Red
2018,18,1.0854,0.960619227,Green
2018,19,-0.4268,0.962711379,Red
2018,20,-0.0616,1.102213818,Red
2018,21,-0.50825,2.642539483,Red
2018,22,0.4214,1.588710735,Red
2018,23,-0.4902,0.500916859,Red
2018,24,-0.1974,0.566189721,Red
2018,25,-0.55,1.401116341,Red
2018,26,-0.13775,1.08948562,Red
2018,27,0.3822,1.873446476,Red
2018,28,1.1006,2.120876894,Red
2018,29,0.6132,0.915620664,Green
2018,30,0.2922,1.011298027,Green
2018,31,-0.2012,0.8252107,Red
2018,32,-0.281,1.515098182,Red
2018,33,0.098,0.391884549,Green
2018,34,0.0282,0.75424081,Green
2018,35,0.06475,0.515777326,Green
2018,36,-0.3168,0.846639947,Red
2018,37,0.4376,1.29041381,Green
2018,38,-1.0316,0.646936473,Red
2018,39,0.521,0.950796245,Green
2018,40,-1.1902,1.510632384,Red
2018,41,-0.0832,1.945503585,Red
2018,42,-1.3862,1.966700969,Red
2018,43,1.1154,0.931005532,Green
2018,44,0.4518,0.97620295,Green
2018,45,-0.5294,2.033167184,Red
2018,46,-0.70875,0.616221483,Red
2018,47,1.048,1.536102373,Red
2018,48,-2.5645,2.465922478,Red
2018,49,-0.7534,1.122490223,Red
2018,50,-0.917,1.294635277,Red
2018,51,1.123,3.673483996,Red
2018,52,1.025,0,Green
2019,0,1.283,2.878033356,Red
2019,1,0.3512,0.663551957,Green
2019,2,2.4224,2.682606811,Red
2019,3,0.24275,1.137278147,Red
2019,4,-0.822,0.844410149,Red
2019,5,-0.0574,1.242972968,Red
2019,6,0.5802,1.329260396,Red
2019,7,-0.02375,0.731796591,Green
2019,8,0.262,0.778892804,Green
2019,9,-0.4528,0.657957217,Red
2019,10,0.4516,0.724113458,Green
2019,11,-1.5918,2.357199864,Red
2019,12,0.4298,0.993527403,Green
2019,13,1.066,1.477569457,Red
2019,14,0.7512,1.795992678,Red
2019,15,-0.1145,0.686623381,Red
2019,16,0.2132,0.404866274,Green
2019,17,0.2406,1.025230364,Green
2019,18,-0.7456,0.619233639,Red
2019,19,-0.7888,2.32993148,Red
2019,20,-0.145,1.602820795,Red
2019,21,-1.43,0.789430174,Red
2019,22,0.818,2.24231075,Red
2019,23,0.3724,1.08438199,Green
2019,24,0.0644,1.382517739,Red
2019,25,0.6262,1.431117815,Red
2019,26,0.2275,1.060311432,Green
2019,27,0.1328,0.858669145,Green
2019,28,-0.0312,0.830670332,Green
2019,29,0.9214,1.27194764,Red
2019,30,-0.9064,1.848557086,Red
2019,31,-0.6996,2.509790589,Red
2019,32,-0.9018,2.880442275,Red
2019,33,-0.4052,1.774600152,Red
2019,34,0.7792,1.158637433,Green
2019,35,0.3835,2.278548441,Red
2019,36,1.7068,1.20251079,Green
2019,37,-0.387,0.406646653,Red
2019,38,-0.1572,1.19153271,Red
2019,39,-0.664,1.79974012,Red
2019,40,0.3906,1.773662679,Red
2019,41,0.9792,0.759521362,Green
2019,42,0.89,0.880706251,Green
2019,43,0.057,1.295647136,Red
2019,44,0.9048,0.8608738,Green
2019,45,-0.198,0.576072044,Red
2019,46,0.153,0.661993958,Green
2019,47,0.1065,0.571806786,Green
2019,48,0.3252,1.303072408,Red
2019,49,0.4626,1.525298594,Red
2019,50,0.3016,0.575410549,Green
2019,51,0.279,0.584621245,Green
2019,52,-0.1835,0.540936688,Green
